id,contents,key word
hjkkk123, 睜眼說瞎話的舔共德國怕未來沒台灣晶片的雙B在美國特斯拉面前跟智障廢鐵一樣才心不甘情不願的在那邊喊願意合作，幹,BioNTech
sara09052, 謝大使2050年3月在幹嗎,BioNTech
godzillabox, 純粹就是民進黨跟綠蟑螂的中國情結包袱而已，笑死又不是在中國生產的東西是在卡什麼帶風向的綠蟑們，死了那七百人你們也有責任,BioNTech
rainsnow, $_$感到高興,BioNTech
space20021, 推,BioNTech
PHXD, 腦粉苦暈在廁所，黨側翼說中國貨 哭哭唷,BioNTech
missin, 沒有加中國台灣，我覺得ok,BioNTech
jiayuan, 為什麼寫出上海復興 憑什麼,BioNTech
jboy, 高興這次沒有人檔了,BioNTech
tnssh211448 , 台灣地區,BioNTech
LoveMakeLove, Danke,BioNTech
kenro, 沒關係啦，有疫苗就好,BioNTech
wcheng19, 政府不投資，別人投資只能找人家代理啊,BioNTech
thebestone, 徐世榮教授XD,BioNTech
NEWOLD, 你知道輝瑞今年的單已經排到後年交貨了嗎,BioNTech
n88713117, 內文講的諾瓦瓦克斯，也早就知道有開發,BioNTech
zmimoboy, 你知道我們自己放棄多少跟疫苗接觸的機會嗎，自己不預算中國打壓自己不預算疫情爆發，超前部署什麼？,BioNTech
n88713117, 就是溢價買，沒辦法,BioNTech
Xaymaca, 你觀念有點小錯誤武漢肺炎成為經常性致命疾病需要國產疫苗  誰跟你還2年後3年後這種就菜逼巴  中國文化的馬後炮觀念你看中國疫苗  再爛  都要趕快做出來用偷的  都要偷技術偷回來  有沒有?,BioNTech
n88713117, 日韓決策都是先代工後國產代工超額利潤就少,BioNTech
ESL63, 講得要買就買得到似的,BioNTech
jim543000, 變種這麼多 當然就是用輝瑞或莫德納效力比較高阿zz你有先去看過novavax對各變種效力多少嗎？觀念真的是菜到不行 能一次做好偏要重工 吃飽太閒？,BioNTech
max1019, 台灣生技製藥技術都不差如果可以協助有能力的廠商簽授權代工 再弄個疫苗國家隊應該是目前最佳解依然持續找現貨獲捐贈 國產繼續研發,BioNTech
Xaymaca, 反正你能做 就趕快做  這很難??????????啊如果你覺得你做不到   結果被你做出來請問這件事是很難還是很簡單??????????,BioNTech
ivanos, Novavax也是蛋白疫苗，不過應該比國產靠譜只少都核准也都開始施打了,BioNTech
Xaymaca, 方法很多種啦   還有一堆明年才有人想到那我問你   我今年先想到  先開始做行不行???????????????????,BioNTech
jim543000, 反正你認為做出爛貨 大家打了有點效用就好那也行 我可以跟你說疫苗重複施打有很高機會無法產生抗原的 打了爛貨遇上變種就乖乖等死,BioNTech
CCTraveler, 還在帶風向？,BioNTech
likeyousmile, 全世界每天幾千人在死的國家還這麼多，台灣沒啥籌碼談。疫苗不是有錢就能買。,BioNTech
wewants, 9.24%內奸仔 配合中共刃支作戰,BioNTech
leecliff, 淺顯易懂的事實 一堆蟑螂悲憤 笑死,BioNTech
showingstar, 已經有這麼多買不到的證據，醒醒別裝睡,BioNTech
Nexpring, 消極作為害死一堆人,BioNTech
ssisters, bnt事件就是個照妖鏡 照出在政府眼中韭菜的命有多麼不值錢,BioNTech
ChoiceH, Novavax和高端ㄧ樣用的是蛋白質次單位疫苗，目前數據看起來效果不錯Novavax沒有和中國沾上邊，政府應該不會擋，就不知道人家賣不賣,BioNTech
